PMID	Substances
26659924	Methotrexate
26612138	Warfarin
26612138	Furosemide
26612138	Sertraline
26612138	Ibuprofen
26482940	Carrageenan
26482940	anethole
26482940	Ibuprofen
26482940	Cyclooxygenase 1
26482940	Cyclooxygenase 2
26261844	Hydrocodone
26197109	Dinoprostone
26197109	Ibuprofen
26159746	Docosahexaenoic Acids
26159746	Aspirin
26159746	IKBKE protein, human
26159746	I-kappa B Kinase
26159746	Phosphoprotein Phosphatases
26011058	Ibuprofen
25958352	etiracetam
25958352	Acetaminophen
25958352	Aspirin
25958352	Ibuprofen
25958352	Piracetam
25845879	Fluconazole
25845879	Ibuprofen
25796279	Diclofenac
25796279	Naproxen
25796279	Aspirin
25796279	Ibuprofen
25784216	Acetaminophen
25784216	Dipyrone
25784216	Aspirin
25707701	Cystic Fibrosis Transmembrane Conductance Regulator
25707701	Warfarin
25652350	sulforafan
25652350	stearic acid
25652350	Ibuprofen
25504564	Pemetrexed
25504564	Guanine
25504564	Ibuprofen
25502615	Ibuprofen
25502052	Diclofenac
25502052	Acetaminophen
25502052	Caffeine
25502052	tolfenamic acid
25502052	Ibuprofen
25475358	Phenylephrine
25475358	Acetaminophen
25475358	Ibuprofen
25475358	Arylsulfotransferase
25475358	SULT1A1 protein, human
25452230	1-aminobenzotriazole
25452230	Terfenadine
25452230	fexofenadine
25452230	Pravastatin
25452230	Antipyrine
25452230	Rifampin
25452230	Ibuprofen
25139652	Diclofenac
25139652	Naproxen
25139652	Aspirin
25122936	Acetaminophen
25122936	Ibuprofen
25048905	Diclofenac
25048905	Ibuprofen
24934064	Caffeine
24873003	Naproxen
24873003	Aspirin
24873003	Ibuprofen
24860956	Acetaminophen
24860956	Ibuprofen
24829163	Formaldehyde
24829163	Tramadol
24829163	Ibuprofen
24645960	Phenylephrine
24645960	Acetaminophen
24645960	Ibuprofen
24632077	Trichloroethylene
24481441	Cisplatin
24481441	Ibuprofen
24401404	Vancomycin
26995806	Acetaminophen
24075938	Aspirin
24075938	Cyclooxygenase 1
24071615	etiracetam
24071615	Acetaminophen
24071615	Ceftriaxone
